REGION,COUNTRY,Popn_2010,Inc_group_2010,M_Group,P_Group,O_Group,W_Group,W_MM_Group,E_Group,R_Group,NTCP_Group,Survey_title,Survey_year,Survey_national,Survey_age_grp,Smk_1_def,Smk_1_tob_use_M,Smk_1_tob_use_F,Smk_1_tob_use_B,Smk_2_def,Smk_2_tob_use_M,Smk_2_tob_use_F,Smk_2_tob_use_B,Smkless_def,Smkless_tob_use_M,Smkless_tob_use_F,Smkless_tob_use_B,Tobacco_M_Current,Tobacco_M_Daily,Tobacco_F_Current,Tobacco_F_Daily,Cigarettes_M_Current,Cigarettes_M_Daily,Cigarettes_F_Current,Cigarettes_F_Daily,Tobacco_B_Current,Tobacco_B_Daily,Cigarettes_B_Current,Cigarettes_B_Daily,P1,P2,P3,P4,P5,P6,P7,P8,P9,C2,P17,P11,P12,P13,P14,P15,P10,P16,O1,O2,O3,O6,O7,O9,O10,O12,O13,O14,O15,O16,W1A,W2A,W3A,W4A,W15A,W16A,W11A,W14A,W6A,W7A,W8A,W10A,W5A,W13A,W12A,W9A,W17A,W18A,W19A,W20A,W21A,W25A,W26A,W1C,W2C,W3C,W4C,W15C,W16C,W11C,W14C,W6C,W7C,W8C,W10C,W5C,W13C,W12C,W9C,W17C,W18C,W19C,W20C,W21C,W25C,W26C,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,E1,E2,E3,E4,E5,E6,E7,C3,E17,E9,E10,E11,E12,E13,E14,E15,C4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,N1,N2,N3,N4,N5,N6,P1_N,P2_N,P3_N,P4_N,P5_N,P6_N,P7_N,P8_N,P9_N,C2_N,P17_N,P11_N,P12_N,P13_N,P14_N,P15_N,P10_N,P16_N,O3_N,W1A_N,W2A_N,W3A_N,W4A_N,W15A_N,W16A_N,W11A_N,W14A_N,W6A_N,W7A_N,W8A_N,W10A_N,W5A_N,W13A_N,W12A_N,W9A_N,W17A_N,W18A_N,W19A_N,W20A_N,W21A_N,W25A_N,W26A_N,W1C_N,W2C_N,W3C_N,W4C_N,W15C_N,W16C_N,W11C_N,W14C_N,W6C_N,W7C_N,W8C_N,W10C_N,W5C_N,W13C_N,W12C_N,W9C_N,W17C_N,W18C_N,W19C_N,W20C_N,W21C_N,W25C_N,W26C_N,MM_N,E1_N,E2_N,E3_N,E4_N,E5_N,E6_N,E7_N,C3_N,E17_N,E9_N,E10_N,E11_N,E12_N,E13_N,E14_N,E15_N,C4_N,R_N
EMR,Afghanistan,29117489,Low,1,3,3,2,1,4,2,3,WHO Assignment Afghanistan Noncommunicable Diseases CVD,1991,Subnational,18+,Current tobacco use,82,17,988,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,No,No,No,No,Yes,NA,988,4,No,NA,NA,No,No,No,NA,No,Yes,Pharmacy,No,NA,No,NA,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,Yes,No,Yes,No,Yes,No,No,988,No,No,No,No,No,Yes,No,No,5,20.00,AFN,0.75,0.45,0%,0%,9%,9%,0%,9%,0.75,0.57,NA,NA,NA,NA,999,999,999,999,No,No,Yes,988,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Albania,3169087,Middle,2,5,3,4,4,4,4,3,Assessment and valuation of smoking prevalence among adult population [+15 years] and population subgroups in Albania and other indicators related to tobacco use,2000,National,15+,Current tobacco smoking,60.1,18.3,40.2,NR,988,988,988,NR,988,988,988,60,57,19,16,60,57,19,16,40,36,40,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,8,No,NA,NA,No,No,No,NA,No,NR,NR,No,NA,No,NA,NR,NR,NR,NR,Yes in some,Yes,50,50,50,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,50,50,50,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,9,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6,150.00,ALL,2.90,1.43,33%,0%,3%,53%,33%,20%,2.9,1.93,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,1,1680000.00,ALL,20025.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Algeria,35422589,Middle,1,2,3,2,2,4,4,3,Enquête de prévalence sur la consommation du tabac dans quatre grandes villes d'Algérie ,2010,Subnational,15+,Daily tobacco smoking,988,988,988,Current tobacco smoking,33.9,2.4,19.3,Current users of smokeless tobacco,10.4,0.8,5.7,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,No,No,No,No,No,No,NA,1,2,No,NA,NA,No,No,Yes,No,No,Yes,Pharmacy,No,NA,Yes,NA,No,Yes in most,No,No,No,Yes,15,15,15,Yes,6,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,966,966,966,Yes,1,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,Yes,No,No,3,No,No,No,No,No,No,No,No,999,85.00,DZD,1.79,1.14,40%,0%,0%,55%,40%,15%,1.79,1.05,NA,NA,NA,NA,999,999,999,999,No,Yes,Yes,2,324753406.00,DZD,4395061.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Andorra,86685,High,1,2,3,1,1,2,4,2,Enquesta Nacional de Salut d'Andorra,2002,National,15+,Current tobacco smoking,42.2,30.2,988,NR,988,988,988,NR,988,988,988,38,34,32,29,38,34,32,29,35,31,35,31,No,No,No,No,No,No,No,No,NA,999,0,NR,NR,NA,NR,NR,NR,NR,No,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,No,No,No,NR,NR,NR,988,988,988,NR,988,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,988,988,988,NR,988,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,No,No,No,No,999,No,No,No,No,No,No,NR,No,999,2.40,EUR,NR,3.13,1%,2%,54%,58%,3%,56%,NR,NR,NA,NA,NA,NA,999,999,999,999,No,No,No,999,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Angola,18992707,Middle,1,2,3,2,2,2,1,3,NR,2999,NA,NA,NA,999,999,999,NA,999,999,999,NA,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,Yes,No,No,No,No,No,No,No,NA,988,1,No,NA,NA,No,No,No,NA,No,No,NA,No,NA,No,NA,No,No,No,No,Yes in some,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,NR,NR,NR,NR,NR,NR,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,999,No,No,No,No,No,No,NR,No,999,NR,NR,NR,NR,988,988,988,988,988,988,NR,NR,NA,NA,NA,NA,999,999,999,999,No,No,Yes,988,NR,NR,NR,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Antigua and Barbuda,88550,Middle,2,2,3,2,1,2,2,2,NR,2999,NA,NA,NA,999,999,999,NA,999,999,999,NA,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,No,No,No,Yes,No,No,No,No,NA,988,1,No,NA,NA,No,No,No,NA,No,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,No,No,Yes in some,No,NR,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,6.50,XCD,3.12,2.41,0%,0%,0%,12%,0%,12%,3.12,1.56,NA,NA,NA,NA,999,999,999,999,No,No,No,999,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Argentina,40665732,Middle,4,2,4,2,4,2,5,4,Segunda Encuesta Nacional Factores de Riesgo,2009,National,18+,Daily cigarette smoking,25.1,17.6,21.1,Current cigarette smoking,32.4,22.4,27.1,NR,988,988,988,32,25,22,18,31,24,20,16,27,22,26,20,No,No,No,No,No,No,No,No,NA,999,0,No,NA,NA,No,No,Yes,Yes,Yes,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in some,Yes in some,Yes in some,Yes in some,Yes,966,966,966,Yes,1,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,999,Yes,No,No,No,No,No,No,No,999,5.38,ARS,2.29,1.37,0%,69%,0%,76%,69%,7%,2.29,0.68,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,5,280240.00,USD,280240.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Armenia,3090379,Middle,4,3,3,3,2,2,2,3,Health Systems Performance Assessment,2009,National,20 - 60,Daily tobacco smoking,51.3,1.4,26,Current tobacco smoking,55.7,2.9,28.3,NR,988,988,988,51,45,2,1,51,45,2,1,27,23,27,23,Yes,Yes,Yes,No,No,No,No,No,NA,3,3,No,NA,NA,No,No,No,NA,Yes,Yes,Pharmacy,No,NA,Yes,Pharmacy,Yes in some,No,No,NR,NR,Yes,30,30,30,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,Yes,No,Yes,8,No,Yes,Yes,Yes,No,No,Yes,No,3,550.00,AMD,2.71,1.49,18%,0%,2%,24%,18%,6%,2.71,0.59,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,1,NR,AMD,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPR,Australia,21511888,High,4,5,5,5,4,4,4,4,National Drug Strategy Household Survey,2007,National,14+,Daily tobacco smoking,18,15.2,16.6,Occasional tobacco smoking,1.4,1.2,1.3,NR,988,988,988,22,19,19,16,22,19,19,16,21,17,20,17,No,No,No,No,No,No,No,No,NA,999,8,No,NA,NA,No,No,Yes,Yes,Yes,Yes,General store,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in most,Yes in most,Yes in most,Yes in some,NR,Yes,60,30,90,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,10,Yes,Yes,Yes,Yes,No,No,No,Yes,10,11.98,AUD,7.74,10.77,55%,0%,0%,64%,55%,9%,7.74,5.13,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,24,43250000.00,AUD,39669618.58,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Austria,8387491,High,4,2,4,3,2,2,4,2,"Österreichweite Repräsentativerhebung zu Substanzgebrauch, Erhebung",2004,National,14 - 99,Daily tobacco smoking,40.2,35.5,988,Current tobacco smoking,48,47,47,NR,988,988,988,47,42,45,45,47,42,45,45,46,44,46,44,No,Yes,Yes,No,No,No,No,No,NA,5,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in some,Yes in some,No,No,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,15,30,0,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,Yes,No,Yes,10,No,No,Yes,No,No,No,No,Yes,6,4.00,EUR,4.66,5.21,13%,43%,0%,73%,56%,17%,4.66,4.02,NA,NA,NA,NA,999,999,999,999,No,No,No,999,20000.00,EUR,29296.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
